FULL NAME,POS,Guard,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,ORTG,DRTG
Nicolo Melli,C-F,0,17.4,15.7,11.5,73,0.74,117,0.573,206,0.335,0.528,0.556,6.6,3,9.2,1.4,10.5,0.57,0.38,0.77,110.6,103.5
Steven Adams,C,0,26.7,17.3,14.4,201,0.582,475,0.594,3,0.333,0.593,0.604,10.9,9.3,19.2,2.3,13.2,0.81,1.06,1.51,122,101.9
Jarrett Allen,C,0,26.5,14.9,11.7,270,0.633,459,0.658,6,0,0.649,0.664,11.1,9.6,18.7,1.6,8.9,0.57,1.31,1.1,131.3,101
Deandre Ayton,C,0,32.5,23.6,11.6,89,0.753,555,0.553,13,0.231,0.548,0.568,18.2,11.5,19.6,1.9,9.6,0.66,1.53,2.11,110.4,102.9
Mo Bamba,C,0,14.2,17.1,12.1,46,0.674,179,0.531,107,0.346,0.526,0.542,5.4,4.9,18.6,0.7,7.2,0.37,1.37,0.68,110.1,96.7
Khem Birch,C,0,19.2,10.2,14.2,101,0.653,142,0.514,1,0,0.51,0.566,4.4,4.6,12.8,1,7.3,0.42,0.48,0.65,120.6,103.1
Bismack Biyombo,C,0,19.4,16.8,12.2,151,0.603,278,0.543,0,0,0.543,0.57,7.4,5.8,16.3,0.9,7.8,0.19,0.92,0.91,115.5,103.3
Marques Bolden,C,0,2.8,0,,0,0,0,0,0,0,,,0,2,39.7,0,0,1,0,0,,
Moses Brown,C,0,3.7,21.3,18.2,8,0.375,10,0.4,0,0,0.4,0.407,1.2,1.6,22.3,0.1,4,0.11,0.11,0.33,,
Clint Capela,C,0,32.8,16.1,12.7,104,0.529,388,0.629,0,0,0.629,0.626,13.9,13.8,22,1.2,5.7,0.87,1.79,1.62,123.4,101.9
Willie Cauley-Stein,C,0,22.9,14.4,11,57,0.614,257,0.56,0,0,0.56,0.573,7.9,6.2,14.7,1.5,9.9,1.12,1.22,0.85,114.3,103.2
Willie Cauley-Stein,C,0,12.1,14.7,9.3,9,0.556,44,0.705,1,0,0.689,0.684,5.2,4.6,20.1,0.8,9.6,0.31,0.85,0.38,134.5,97.6
Tyson Chandler,C,0,8.4,6,25.2,13,0.462,18,0.778,0,0,0.778,0.717,1.3,2.5,15.8,0.2,3.5,0.23,0.31,0.31,134.4,97.9
Dewayne Dedmon,C,0,15.9,18.5,20.4,28,0.821,100,0.55,71,0.197,0.444,0.477,5.1,4.9,17.4,0.4,3.9,0.44,0.76,1.38,88.4,94.9
Dewayne Dedmon,C,0,23.3,17.4,10.3,8,0.875,48,0.521,36,0.222,0.44,0.463,8.1,8.2,18.9,0.7,4.3,1,1.5,1,93.8,95.8
Gorgui Dieng,C,0,16.9,18.4,12.7,59,0.797,157,0.497,120,0.383,0.531,0.563,7.4,5.6,17.3,1.3,11.1,0.8,0.91,0.96,112.6,101.2
Gorgui Dieng,C,0,18.7,15.9,13.2,42,0.738,55,0.618,32,0.25,0.529,0.583,7.2,5.8,16.2,0.9,6.3,0.82,1,0.94,111.8,99.1
Andre Drummond,C,0,33.7,25.5,18,255,0.584,658,0.546,21,0.048,0.531,0.55,17.8,15.8,26.6,2.8,14,1.98,1.67,3.55,104.3,97.5
Andre Drummond,C,0,28.1,28.8,19.2,39,0.513,91,0.593,14,0.286,0.571,0.573,17.5,11.1,22,1.8,10.9,1.5,1.38,3.63,99.3,100.8
Tacko Fall,C,0,4.6,24,16.4,3,0.333,14,0.786,0,0,0.786,0.751,3.3,2.1,24.7,0.1,6,0.29,0.57,0.43,114.7,77.2
Marc Gasol,C,0,26.4,13.2,16.4,49,0.735,131,0.473,148,0.385,0.529,0.551,7.5,6.2,12.5,3.3,17.3,0.77,0.86,1.34,110.1,96
Rudy Gobert,C,0,34.3,16.2,15,403,0.63,557,0.693,0,0,0.693,0.699,15.1,13.5,21.7,1.5,6.6,0.72,1.97,1.91,130,99.2
Nikola Jokic,C,0,32,26.6,15.8,301,0.817,816,0.594,255,0.314,0.565,0.605,19.9,9.7,17.1,7,35.2,1.16,0.6,3.08,118.8,101.5
Damian Jones,C,0,16.1,11.4,11.5,84,0.738,169,0.704,9,0.222,0.685,0.712,5.6,3.7,12.5,0.6,5.6,0.47,0.73,0.51,137,101.2
